,CB_ID,CSR_Num,DateCreate,Block,Lot,status,servicerequestnum,srstatus,createddate
1258,C1718173-2,19-00615066,2019-09-23 10:53:00,2709,018,PENDING,,,
1273,C1117482-11,19-00647045,2019-09-26 09:36:00,3824,038,NEW,,,
1287,C1226822-6,19-00671706,2019-10-01 10:06:00,3185,086,PENDING,,,
1316,C1716253-2,19-00680661,2019-10-04 15:59:00,3575,087,PENDING,,,
1319,C1070170-5,19-00684593,2019-10-07 14:06:00,7472,039,PENDING,,,
1321,C305552-6,19-00684923,2019-10-07 15:31:00,3350I,044,PENDING,,,
1322,C628258-18,19-00685067,2019-10-07 16:12:00,4744,035,PENDING,,,
1326,C257934-17,19-00687317,2019-10-08 15:14:00,3347,040,PENDING,,,
1329,C1830261-1,19-00688267,2019-10-09 09:05:00,2748D,026A,PENDING,,,
1334,C1467756-6,19-00690506,2019-10-10 08:24:00,2299E,047,NEW,,,
1336,C1842347-1,19-00691963,2019-10-10 13:30:00,2487,121,NEW,,,
1340,C1656576-4,19-00692117,2019-10-10 14:23:00,3561,035,PENDING,,,
1418,C645020-14,19-00735288,2019-10-31 14:31:00,2164,004C,NEW,,,
1431,C611181-7,19-00737617,2019-11-01 12:47:00,4778G,022,PENDING,,,
1461,C686190-20,19-00804621,2019-11-07 16:22:00,7805C,001,NEW,,,
1505,C1841636-2,19-00831020,2019-11-21 10:50:00,3043,056,PENDING,,,
1521,C1472918-6,19-00844133,2019-11-29 08:51:00,0276,096,NEW,,,
1523,C1800578-2,19-00845514,2019-11-29 14:42:00,3357,006,PENDING,,,
1532,C1675073-2,19-00854450,2019-12-04 14:36:00,4916D,027A,PENDING,,,
1570,C1820940-1,19-00880092,2019-12-17 15:22:00,2164,001A,NEW,,,
1597,C169049-53,19-00898773,2019-12-30 11:42:00,2284,048,NEW,,,
1598,C682229-5,19-00899975,2019-12-30 16:24:00,0280,086,NEW,,,
1614,C1263263-4,20-00009278,2020-01-06 14:35:00,0253,064,NEW,,,
1616,C1731996-2,20-00013109,2020-01-08 10:01:00,4282,001,PENDING,,,
1632,C1360988-6,20-00024455,2020-01-14 08:52:00,2145B,014,NEW,,,
1651,C618592-16,20-00029994,2020-01-16 09:31:00,2394,049,NEW,,,
1652,C188084-9,20-00030025,2020-01-16 09:37:00,2388,036,NEW,,,
1657,C1781824-2,20-00031459,2020-01-16 15:14:00,2812,021,NEW,,,
1669,C1717430-2,20-00037768,2020-01-21 10:33:00,2230B,016,NEW,,,
1699,C1428255-7,20-00059015,2020-01-31 12:37:00,5212,001B,NEW,,,
1700,C1676341-3,20-00059056,2020-01-31 12:53:00,2213A,048,NEW,,,
1714,C1635164-1,20-00063797,2020-02-03 16:41:00,3523,078,PENDING,,,
1731,C970678-15,20-00069097,2020-02-05 15:38:00,3190,045,NEW,,,
1747,C1137230-3,20-00073273,2020-02-07 10:17:00,3100A,001,NEW,,,
1749,C252068-4,20-00073328,2020-02-07 10:38:00,3327C,079,NEW,,,
1772,C1714664-1,20-00084604,2020-02-10 14:57:00,7095,086,NEW,,,
1774,C898277-5,20-00084845,2020-02-10 16:07:00,4626,003,NEW,,,
1783,,,,,,,19-00536922,Pending,2019-08-30T19:06:53.000
1784,,,,,,,19-00616072,Pending,2019-09-23T14:23:20.000
1785,,,,,,,19-00599984,Pending,2019-09-20T11:33:03.000
1786,,,,,,,19-00555053,Pending,2019-09-09T14:06:53.000
1787,,,,,,,19-00555032,Pending,2019-09-09T14:03:51.000
1788,,,,,,,19-00555031,Pending,2019-09-09T14:03:44.000
1789,,,,,,,19-00737575,Pending,2019-11-01T12:33:15.000
1790,,,,,,,19-00662801,Open,2019-05-28T09:20:00.000
1791,,,,,,,19-00659688,Open,2019-07-08T15:59:00.000
1792,,,,,,,19-00661075,Open,2019-07-09T15:31:00.000
1793,,,,,,,19-00659589,Pending,2019-05-28T16:12:00.000
1794,,,,,,,19-00657605,Pending,2019-06-21T19:04:00.000
1795,,,,,,,19-00672246,Pending,2019-10-01T12:28:30.000
1796,,,,,,,19-00662209,Pending,2019-07-12T16:09:00.000
1797,,,,,,,19-00661795,Open,2019-07-09T15:32:00.000
1798,,,,,,,19-00652556,Open,2019-05-02T10:30:15.000
1799,,,,,,,19-00652144,Open,2019-05-02T09:40:07.000
1800,,,,,,,19-00649759,Pending,2019-05-16T16:45:08.000
