,srid,Created Date,Block_Number_c,sr status,CB_ID,CSR_Num,DateCreate,Block,Lot,status
1738,,,,,C854738-15,19-00263026,2019-05-07 08:37:00,2546,010,NEW
1739,,,,,C434954-26,19-00263771,2019-05-07 10:12:00,4605A,011A,NEW
1740,,,,,C1777100-1,19-00265784,2019-05-08 13:30:00,1118,033,
1741,,,,,C211444-17,19-00267790,2019-05-09 15:43:00,2177,079,PENDING
1742,,,,,C1005398-1,19-00273124,2019-05-13 16:08:00,2418,079A,PENDING
1743,,,,,C1766958-1,19-00275255,2019-05-14 18:20:00,2255,029,PENDING
1744,,,,,C288383-21,19-00275347,2019-05-14 19:33:00,2487,093,NEW
1745,,,,,C288388-19,19-00275351,2019-05-14 19:37:00,2487,094,NEW
1746,,,,,C288389-14,19-00275350,2019-05-14 19:40:00,2487,095,NEW
1747,,,,,C288390-14,19-00275356,2019-05-14 19:42:00,2487,096,NEW
1748,,,,,C288391-16,19-00275355,2019-05-14 19:44:00,2487,097,NEW
1749,,,,,C894419-8,19-00275567,2019-05-14 20:01:00,2487,099,PENDING
1750,,,,,C357523-16,19-00275581,2019-05-15 06:36:00,2487,086,NEW
1751,,,,,C894389-8,19-00275586,2019-05-15 06:41:00,2487,074,NEW
1752,,,,,C316745-19,19-00275594,2019-05-15 06:58:00,2501,072,NEW
1753,,,,,C1341239-2,19-00275618,2019-05-15 07:25:00,2483,033A,PENDING
1754,,,,,C1703365-2,19-00275627,2019-05-15 07:28:00,2486,053,PENDING
1755,,,,,C827261-11,19-00275628,2019-05-15 07:28:00,2530C,623,PENDING
1756,,,,,C1651040-3,19-00276619,2019-05-15 13:49:00,7805E,003,NEW
1757,,,,,C577006-9,19-00276821,2019-05-15 14:46:00,2108A,055,PENDING
1758,,,,,C1649449-2,19-00277070,2019-05-15 15:55:00,8102N,063,PENDING
1759,,,,,C1514889-8,19-00277493,2019-05-15 19:30:00,2152,005,PENDING
1760,,,,,C1791553-1,19-00279097,2019-05-16 15:27:00,0023,055,PENDING
1761,,,,,C1424318-6,19-00279239,2019-05-16 16:12:00,2530C,001,NEW
1762,,,,,C1785509-1,19-00489919,2019-05-17 14:58:00,2441,022,PENDING
1763,,,,,C1787521-1,19-00489877,2019-05-18 08:45:00,2447,047,PENDING
